departamento;codigo_pliego;pliego;nivel_gobierno;provincia;distrito;anexos;n_asignaciones;monto_asignado_soles;concepto_del_monto;referencia_paginas_pdf
Tacna;230301;MUNICIPALIDAD PROVINCIAL DE JORGE BASADRE -LOCUMBA;Gobierno local;Jorge Basadre;Jorge Basadre;7;13;111516787;Presupuesto institucional total del pliego;ANEXO-7-2-2:258
Tacna;230302;MUNICIPALIDAD DISTRITAL DE ILABAYA;Gobierno local;Jorge Basadre;Ilabaya;7;10;234843303;Presupuesto institucional total del pliego;ANEXO-7-2-2:258
Tacna;230303;MUNICIPALIDAD DISTRITAL DE ITE;Gobierno local;Jorge Basadre;Ite;7;9;85466834;Presupuesto institucional total del pliego;ANEXO-7-2-2:258-259
Tacna;230401;MUNICIPALIDAD PROVINCIAL DE TARATA;Gobierno local;Tarata;Tarata;7;13;7918264;Presupuesto institucional total del pliego;ANEXO-7-2-2:259
Tacna;230402;MUNICIPALIDAD DISTRITAL DE CHUCATAMANI;Gobierno local;Tarata;Chucatamani;7;6;2129753;Presupuesto institucional total del pliego;ANEXO-7-2-2:259
Tacna;230403;MUNICIPALIDAD DISTRITAL DE ESTIQUE;Gobierno local;Tarata;Estique;7;6;1604634;Presupuesto institucional total del pliego;ANEXO-7-2-2:259-260
Tacna;230404;MUNICIPALIDAD DISTRITAL DE ESTIQUE-PAMPA;Gobierno local;Tarata;Estique;7;6;1522550;Presupuesto institucional total del pliego;ANEXO-7-2-2:260
Tacna;230405;MUNICIPALIDAD DISTRITAL DE SITAJARA;Gobierno local;Tarata;Sitajara;7;6;1766021;Presupuesto institucional total del pliego;ANEXO-7-2-2:260
Tacna;230406;MUNICIPALIDAD DISTRITAL DE SUSAPAYA;Gobierno local;Tarata;Susapaya;7;7;2337455;Presupuesto institucional total del pliego;ANEXO-7-2-2:260
Tacna;230407;MUNICIPALIDAD DISTRITAL DE TARUCACHI;Gobierno local;Tarata;Tarucachi;7;5;2110739;Presupuesto institucional total del pliego;ANEXO-7-2-2:260-261
Tacna;230408;MUNICIPALIDAD DISTRITAL DE TICACO;Gobierno local;Tarata;Ticaco;7;6;3070847;Presupuesto institucional total del pliego;ANEXO-7-2-2:261
